k1,b,recall@5,mrr@10,config_hash,seed
0.9,0.3,0.9131,0.8455,e696128368de,1337
0.9,0.5,0.9117,0.8481,e696128368de,1337
0.9,0.75,0.9077,0.8453,e696128368de,1337
0.9,0.9,0.907,0.843,e696128368de,1337
1.2,0.3,0.9137,0.8442,e696128368de,1337
1.2,0.5,0.9117,0.8446,e696128368de,1337
1.2,0.75,0.907,0.8404,e696128368de,1337
1.2,0.9,0.9043,0.8364,e696128368de,1337
1.5,0.3,0.9111,0.8401,e696128368de,1337
1.5,0.5,0.9117,0.843,e696128368de,1337
1.5,0.75,0.9063,0.8367,e696128368de,1337
1.5,0.9,0.9023,0.8294,e696128368de,1337
2.0,0.3,0.9077,0.8354,e696128368de,1337
2.0,0.5,0.9077,0.8325,e696128368de,1337
2.0,0.75,0.9023,0.8278,e696128368de,1337
2.0,0.9,0.8969,0.8221,e696128368de,1337
