tau,coverage,selective_risk,risk_ucb,answered,errors,feasible,config_hash,seed
0.0,1.0,0.8275,0.8517,400,331,False,773e1b820203,1337
0.005,0.98,0.824,0.8486,392,323,False,773e1b820203,1337
0.01,0.98,0.824,0.8486,392,323,False,773e1b820203,1337
0.015,0.98,0.824,0.8486,392,323,False,773e1b820203,1337
0.02,0.9775,0.8235,0.8482,391,322,False,773e1b820203,1337
0.025,0.975,0.8231,0.8478,390,321,False,773e1b820203,1337
0.03,0.975,0.8231,0.8478,390,321,False,773e1b820203,1337
0.035,0.9675,0.8243,0.8491,387,319,False,773e1b820203,1337
0.04,0.9575,0.8225,0.8475,383,315,False,773e1b820203,1337
0.045,0.9575,0.8225,0.8475,383,315,False,773e1b820203,1337
0.05,0.9475,0.8232,0.8483,379,312,False,773e1b820203,1337
0.055,0.93,0.8253,0.8505,372,307,False,773e1b820203,1337
0.06,0.92,0.8234,0.8488,368,303,False,773e1b820203,1337
0.065,0.9125,0.8219,0.8476,365,300,False,773e1b820203,1337
0.07,0.8975,0.8189,0.845,359,294,False,773e1b820203,1337
0.075,0.8875,0.8169,0.8432,355,290,False,773e1b820203,1337
0.08,0.8825,0.8187,0.845,353,289,False,773e1b820203,1337
0.085,0.8725,0.8195,0.8459,349,286,False,773e1b820203,1337
0.09,0.8575,0.8163,0.8431,343,280,False,773e1b820203,1337
0.095,0.85,0.8147,0.8417,340,277,False,773e1b820203,1337
0.1,0.8375,0.8149,0.8421,335,273,False,773e1b820203,1337
0.105,0.815,0.8129,0.8406,326,265,False,773e1b820203,1337
0.11,0.7975,0.8088,0.8371,319,258,False,773e1b820203,1337
0.115,0.79,0.807,0.8355,316,255,False,773e1b820203,1337
0.12,0.7825,0.8083,0.8369,313,253,False,773e1b820203,1337
0.125,0.765,0.8039,0.8331,306,246,False,773e1b820203,1337
0.13,0.7575,0.802,0.8314,303,243,False,773e1b820203,1337
0.135,0.745,0.7987,0.8285,298,238,False,773e1b820203,1337
0.14,0.735,0.7959,0.8262,294,234,False,773e1b820203,1337
0.145,0.715,0.7902,0.8212,286,226,False,773e1b820203,1337
0.15,0.71,0.7887,0.8199,284,224,False,773e1b820203,1337
0.155,0.7,0.7857,0.8173,280,220,False,773e1b820203,1337
0.16,0.6875,0.7818,0.8139,275,215,False,773e1b820203,1337
0.165,0.675,0.7778,0.8104,270,210,False,773e1b820203,1337
0.17,0.65,0.7692,0.803,260,200,False,773e1b820203,1337
0.175,0.635,0.7677,0.802,254,195,False,773e1b820203,1337
0.18,0.62,0.7621,0.7971,248,189,False,773e1b820203,1337
0.185,0.5925,0.7595,0.7954,237,180,False,773e1b820203,1337
0.19,0.565,0.7478,0.7853,226,169,False,773e1b820203,1337
0.195,0.55,0.7409,0.7793,220,163,False,773e1b820203,1337
0.2,0.5275,0.7299,0.7696,211,154,False,773e1b820203,1337
