retriever,n_queries,recall@1,recall@5,recall@10,mrr@10,ndcg@10,found@10,ms_per_query,index_mb,build_s,index_size,split,bm25_k1,bm25_b,queries,expanded_queries,expanded_pct,added_terms_per_expanded_query,config_hash,seed
bm25,1484,0.7884097035040432,0.9157681940700808,0.942722371967655,0.8461523445856332,0.869862293933355,0.942722371967655,0.207,10.89,0.0,10000,val,1.2,0.3,,,,,773e1b820203,1337
tfidf-word,1484,0.6583557951482479,0.8571428571428571,0.8995956873315364,0.7469689919993158,0.7844264196464473,0.8995956873315364,6.626,17.38,0.0,10000,val,1.2,0.3,,,,,773e1b820203,1337
tfidf-char,1484,0.681266846361186,0.8901617250673854,0.9265498652291105,0.7694698476875032,0.8079654106376952,0.9265498652291105,59.852,107.44,0.0,10000,val,1.2,0.3,,,,,773e1b820203,1337
rrf(bm25+char),1484,0.7681940700808625,0.9144204851752021,0.942722371967655,0.8329263466392848,0.8598987967489451,0.942722371967655,59.577,118.32,0.0,10000,val,1.2,0.3,,,,,773e1b820203,1337
rrf(bm25+word+char),1484,0.738544474393531,0.9009433962264151,0.9299191374663073,0.8123211076883582,0.8414113416193386,0.9299191374663073,63.533,135.7,0.0,10000,val,1.2,0.3,,,,,773e1b820203,1337
qe(bm25),1484,0.7863881401617251,0.9150943396226415,0.942722371967655,0.8448832520429556,0.8689015411998052,0.942722371967655,0.41,10.89,0.0,10000,val,1.2,0.3,1484.0,122.0,8.22,1.23,773e1b820203,1337
bm25,1484,0.7587601078167115,0.8908355795148248,0.9164420485175202,0.8185339387327263,0.8426369856205749,0.9164420485175202,0.525,43.63,0.0,50000,val,0.9,0.3,,,,,773e1b820203,1337
tfidf-word,1484,0.6199460916442049,0.8153638814016172,0.8645552560646901,0.7048324990373517,0.7436624897204992,0.8645552560646901,29.839,69.28,0.0,50000,val,0.9,0.3,,,,,773e1b820203,1337
tfidf-char,1484,0.5970350404312669,0.8012129380053908,0.8611859838274932,0.6854123882257315,0.727945039611272,0.8611859838274932,244.515,476.39,0.0,50000,val,0.9,0.3,,,,,773e1b820203,1337
rrf(bm25+char),1484,0.7250673854447439,0.8726415094339622,0.9157681940700808,0.7918086574252345,0.8219449020430857,0.9157681940700808,248.513,520.02,0.0,50000,val,0.9,0.3,,,,,773e1b820203,1337
rrf(bm25+word+char),1484,0.706199460916442,0.8652291105121294,0.9063342318059299,0.7771547298164548,0.8086398716208233,0.9063342318059299,160.88,589.3,0.0,50000,val,0.9,0.3,,,,,773e1b820203,1337
qe(bm25),1484,0.7574123989218329,0.8901617250673854,0.9157681940700808,0.8170683053095456,0.8413408494072915,0.9157681940700808,0.373,43.63,0.0,50000,val,0.9,0.3,1484.0,122.0,8.22,1.23,773e1b820203,1337
