cluster,size,n_gold,n_nctb_schooltext,n_wiki,top_terms,config_hash,seed
0,469,12,307,150,"পানি, খাদ্য, যায়, চাষ, মাছ, গাছ, উদ্ভিদ, ফসল",e696128368de,1337
1,562,0,561,1,"৷, ঈশ্বর, মানুষ, না, কাজ, 2, এ, 1",e696128368de,1337
2,84,0,0,84,"মৃ, জ, অভিনেতা, কবি, রাজনীতিবিদ, ইংরেজ, ভারতী, বাঙালি",e696128368de,1337
3,118,0,2,116,"উপজেলা, ইউনিয়ন, জেলা, নং, সদর, টি, আয়তন, প্রশাসনিক",e696128368de,1337
4,857,64,60,733,"সাল, সরকার, যুদ্ধ, হন, পর, প্রথম, বাহিনী, ভারত",e696128368de,1337
5,202,6,111,85,"আল্লাহ, ইসলাম, আল, কুরআন, তায়ালা, সূরা, স, হযরত",e696128368de,1337
6,177,10,80,87,"বিক্রিয়া, পরমাণু, পদার্থ, রাসায়নিক, ইলেকট্রন, শক্তি, অণু, গ্যাস",e696128368de,1337
7,442,34,20,388,"বিশ্ববিদ্যালয়, সাল, কলেজ, ঢাকা, বাংলাদেশ, স্কুল, বিভাগ, হন",e696128368de,1337
8,1605,62,1011,532,"না, যায়, কাজ, এক, সময়, বলে, এ, মানুষ",e696128368de,1337
9,686,53,36,597,"অঞ্চল, শহর, দক্ষিণ, উত্ত, অবস্থিত, নদী, সাল, পশ্চিম",e696128368de,1337
10,201,9,0,192,"চলচ্চিত্র, অভিনয়, পুরস্কার, ছবি, চরিত্র, সাল, অভিনেতা, শ্রেষ্ঠ",e696128368de,1337
11,31,0,0,31,"হার, সাক্ষরতা, জনসংখ্যা, শহর, নারী, পুরুষ, উপাত্ত, ভারত",e696128368de,1337
12,852,165,122,565,"ব্যবহার, পার, যায়, কাজ, হতে, বিভিন্ন, ক্ষেত্র, তৈরি",e696128368de,1337
13,184,9,5,170,"খেলোয়াড়, ফুটবল, ক্লাব, খেলা, গোল, লিগ, বিশ্বকাপ, দলে",e696128368de,1337
14,386,17,247,122,"ব্যাংক, দেশ, বাংলাদেশ, টাকা, আয়, অর্থনীতি, উৎপাদন, শিল্প",e696128368de,1337
15,90,0,0,90,"বিদ্যালয়, সরকারি, মাদ্রাসা, প্রাথমিক, উচ্চ, ইউনিয়ন, মাধ্যমিক, টি",e696128368de,1337
16,520,16,54,450,"বাংলা, গান, কবিতা, সাহিত্য, রচনা, প্রকাশিত, ভাষা, গ্রন্থ",e696128368de,1337
17,228,2,216,10,"0, 1, 5, 4, 2, 7, বিন্দু, 3",e696128368de,1337
18,163,0,163,0,"গ, ঘ, খ, ক, প্রশ্ন, 1, নিচ, 11",e696128368de,1337
19,143,0,143,0,"করো, ব্যাখ্যা, গ, খ, ঘ, ক, 2, কাজ",e696128368de,1337
