cluster,size,top_terms,dominant_source,dominant_source_pct,n_gold,n_nctb_schooltext,n_wiki,config_hash,seed
0,271,0 · 1 · 5 · 2 · 7 · 4 · 3 · বিন্দু,nctb_schooltext,93.0,2.0,252.0,17.0,773e1b820203,1337
1,235,ঘ · গ · খ · ক · প্রশ্ন · করো · 1 · ব্যাখ্যা করো,nctb_schooltext,100.0,,235.0,,773e1b820203,1337
2,550,অঞ্চল · দক্ষিণ · উত্ত · নদী · শহর · অবস্থিত · পশ্চিম · জেলা,wiki,87.5,29.0,40.0,481.0,773e1b820203,1337
3,830,সাল · দেশ · সরকা · বছর · মার্কিন · শহর · প্রথম · শুরু,wiki,83.0,86.0,55.0,689.0,773e1b820203,1337
4,54,পারব · ব্যাখ্যা পারব · ব্যাখ্যা · বর্ণনা পারব · বর্ণনা · অধ্যায় · অধ্যায় শেষ · এ অধ্যায়,nctb_schooltext,100.0,,54.0,,773e1b820203,1337
5,199,খেলোয়াড় · ফুটবল · ক্লাব · খেলা · ম্যাচ · গোল · দলে · বিশ্বকাপ,wiki,91.5,11.0,6.0,182.0,773e1b820203,1337
6,192,ব্যাংক · টাকা · আয় · ব্যবসা · ব্য · অর্থ · প্রতিষ্ঠান · মুনাফা,nctb_schooltext,86.5,2.0,166.0,24.0,773e1b820203,1337
7,443,কবিতা · গ্রন্থ · রচনা · বাংলা · সাহিত্য · গান · কবি · ভাষা,wiki,84.7,13.0,55.0,375.0,773e1b820203,1337
8,302,চলচ্চিত্র · পুরস্কার · অভিন · ছবি · সাল · দ্য · চরিত্র · মার্কিন,wiki,94.4,16.0,1.0,285.0,773e1b820203,1337
9,227,আল্লাহ · ইসলাম · কুরআন · তায়ালা · আল্লাহ তায়ালা · সূরা · আল · হযরত,nctb_schooltext,53.3,7.0,121.0,99.0,773e1b820203,1337
10,31,সাক্ষরতা হার · সাক্ষরতা · হার · শহর জনসংখ্যা · শহর · জনসংখ্যা · উপাত্ত · নারী,wiki,100.0,,,31.0,773e1b820203,1337
11,452,বিশ্ববিদ্যাল · সাল · কলেজ · ঢাকা · স্কুল · বাংলাদেশ · হন · হিসেব,wiki,85.0,40.0,28.0,384.0,773e1b820203,1337
12,175,উপজেলা · বিদ্যালয় · ইউনিয়ন · প্রাথমিক বিদ্যালয় · টি · উচ্চ বিদ্যালয় · মাদ্রাসা · সরকারি প্রাথমিক,wiki,100.0,,,175.0,773e1b820203,1337
13,190,বিক্রিয়া · পদার্থ · পরমাণু · রাসায়নিক · ইলেকট্রন · গ্যাস · যৌগ · কার্বন,nctb_schooltext,48.4,10.0,92.0,88.0,773e1b820203,1337
14,709,ব্যবহার · পার · তৈরি · কাজ · যায় · কম্পিউটার · তথ্য · বিভিন্ন,wiki,60.1,132.0,151.0,426.0,773e1b820203,1337
15,261,খাদ্য · রোগ · খাবার · দেহ · যায় · রক্ত · না · কোষ,nctb_schooltext,63.2,13.0,165.0,83.0,773e1b820203,1337
16,493,পানি · গাছ · যায় · ফসল · চাষ · উদ্ভিদ · প্রজাতি · মাটি,nctb_schooltext,56.4,16.0,278.0,199.0,773e1b820203,1337
17,1280,না · মানুষ · যায় · কাজ · এক · কথা · এ · সময়,nctb_schooltext,52.8,71.0,676.0,533.0,773e1b820203,1337
18,361,বাংলাদেশ · স্বাধীনতা · মৃ · আন্দোলন · ভারতী · রাজনীতিবিদ · বাঙালি · সাল,wiki,86.4,9.0,40.0,312.0,773e1b820203,1337
19,745,৷ · 1 · 2 · করো · না · কাজ · 3 · পাঠ,nctb_schooltext,97.0,2.0,723.0,20.0,773e1b820203,1337
