arm,n,accuracy,acc_supported,acc_contradicted,acc_neutral,accuracy_veto_off,veto_fire_rate,config_hash,seed
veto_off,496,0.881,0.9355,0.8548,0.9839,,,773e1b820203,1337
veto_on,496,0.8387,0.6935,0.9247,0.4677,,,773e1b820203,1337
majority_baseline,496,0.75,,,,,,773e1b820203,1337
veto_on/cross_passage,62,0.4677,,,,0.9839,0.5323,773e1b820203,1337
veto_on/date,62,0.9839,,,,0.8871,0.9677,773e1b820203,1337
veto_on/entity,62,0.9677,,,,0.9194,0.9516,773e1b820203,1337
veto_on/gold,62,0.6935,,,,0.9355,0.2903,773e1b820203,1337
veto_on/numeral,62,0.9677,,,,0.8548,0.9516,773e1b820203,1337
veto_on/polarity,62,0.7097,,,,0.6935,0.7097,773e1b820203,1337
veto_on/relation_order,62,0.9677,,,,0.8871,0.9677,773e1b820203,1337
veto_on/unit,62,0.9516,,,,0.8871,0.9516,773e1b820203,1337
